,134340_Pluto_by_Cojum_Dip,2025_by_Bohdi,27_Kids_by_GRMLN,50_Ways_to_Say_Goodbye_by_Train,6_Count_Swing_by_This_Way_To_The_Egress,99_Luftballons_by_Nena,Across_the_Drift_(Riftborn_Theme)_by_Arnaud_Roy,Adeline_by_Fever_Dolls,Allies_or_Enemies_by_The_Crane_Wives,All_Gone_by_Mother_Mother,All_the_King's_Men_by_The_Rigs,Always_by_Gender_Roles,Always_Right_by_Anne_Reburn,Always_Sayin'_by_The_Littlest_Man_Band,Animals_Crying_by_Statues_of_Cats,Animal_by_Sir_Chloe,An_Unhealthy_Obsession_by_The_Blake_Robinson_Synthetic_Orchestra,"Aphrodite,_Your_Electric_Sexiness_by_Human_Zoo",April_to_Death_by_Flower_Face,Arms_Tonite_by_Mother_Mother,A_Thousand_Years_by_Christina_Perri,A_Wistful_Waltz_by_Teddy_Hyde,Babylon_by_Dirt_Poor_Robins,Baby_Boy_by_Hot_Freaks,Bang!_by_AJR,Begin_Again_by_Adam_Melchor,Bernadette_by_Reina_del_Cid,Best_Tears_by_The_Happy_Fits,Better_People_to_Leave_on_Read_by_Emei,Big_Poppa_-_2005_Remaster_by_The_Notorious_B.I.G.,Big_Town_Banky_Blaine's_Rockabilly_BBQ_by_Bear_Ghost,Bird_Song_by_Florence_+_The_Machine,Blame_by_Andy_Leon,Bloodsuckers_by_Johnny_Hollow,Blue_Sky_by_Quail,Boats_&_Birds_by_Gregory_and_the_Hawk,Body_by_Mother_Mother,Breezeblocks_by_alt-J,Bummer_Days_by_Liza_Anne,Burning_Pile_by_Mother_Mother,Burn_It_Down_by_Tauese_Tofa,Bygones_by_Seeing_Double,Can't_Go_Back_by_The_Crane_Wives,Can_You_Keep_Up_by_Blue_Kid,Caroline_by_Crash_Adams,Casita_by_The_Astronomers,Cave_Song_by_Pretty_Vicious,Cellophane_by_Sara_Jackson-Holman,CEO_of_Watching_Television_by_Ellie_Dixon,Chicken_by_Your_Neighbors,City_of_Angels_by_Em_Beihold,Closer_to_You_by_Sammy_Rae_&_The_Friends,CoDA_by_Dead_Poet_Society,Coffee_Baby_by_Nataly_Dawn,Cold_Cold_Cold_by_Cage_The_Elephant,Colors_by_April_Smith_and_the_Great_Picture_Show,Combat_Baby_by_Metric,Comedy_by_Gen_Hoshino,Community_Gardens_by_The_Scary_Jokes,Conversations_by_Marney,Cooler_Than_Me_by_First_to_Eleven,Counting_Stars_by_OneRepublic,Crazy_by_Burn_The_Ballroom,Crazy_by_Gnarls_Barkley,Curses_by_The_Crane_Wives,"Danse_Macabre,_Op._40,_R.171_by_Camille_Saint-SaÃ«ns",Dead_Disco_by_Metric,Dear_God_-_Remastered_2001_by_XTC,Delirium_Tremendous_by_Felix_Hagan_&_the_Family,despair_by_leo.,Devil's_Playground_by_The_Rigs,Devils_Point_by_Wicked_Shallows,didya_think_by_Arlie,Dirty_Imbecile_by_The_Happy_Fits,Distracted_by_Emei,Dogs_by_Magic_Sugar_Coffee,Dog_Named_Dog_by_Louie_Zong,Doing_Really_Well_Thanks_by_Ellie_Bleach,Don't_Call_Me_When_You're_Lonely_by_Fox_Royale,Don't_Stop_by_Gin_Wigmore,Don't_Swerve_by_Annie_DiRusso,Down_in_Virginia_by_Grace_Victoria,Dream_of_Better_Things_by_AlicebanD,Dressed_In_Violets_by_hometown_&_young,Drugs_by_UPSAHL,Eat_You_by_Caravan_of_Thieves,Egg_by_Shoe,Eleanor_Rigby_by_Dirt_Poor_Robins,Evelyn_by_Kim_Tillman,Everyday_Is_Christmas_by_Sia,Experience_by_Ludovico_Einaudi,F.E.A.R._by_Joywave,Falling_Off_by_The_People's_Thieves,Farewell_Kabarista_by_Vagabond_Opera,Farewell_Wanderlust_by_The_Amazing_Devil,Fear_&_Delight_by_The_Correspondents,Feel_Better_by_Penelope_Scott,Femme_Fatale_by_Coyote_Kid,Ferryman_by_Shayfer_James,Fight_for_Me_by_AlicebanD,Fire_With_Fire_by_AlicebanD,Five_Minutes_by_The_Altogether,Flesh_&_Bone_by_Sammy_Rae_&_The_Friends,Follow_Me_Like_the_Moon_by_Sammy_Rae_&_The_Friends,Foothills_by_Spence_Hood,For_Elise_by_Saint_Motel,From_The_Gallows_by_I_DONT_KNOW_HOW_BUT_THEY_FOUND_ME,Funkle_Phil_by_Bear_Ghost,Game_by_Harrison_Fjord,Get_Used_to_It_by_Ricky_Montgomery,Gimme_Sympathy_by_Metric,Girls_and_Their_Bits_by_Shoe,Goat's_Milk_by_Ezra_Bell,Golden_by_Elysewood,Golden_Light_by_STRFKR,good_4_u_by_Olivia_Rodrigo,Good_Gone_Bad_by_Piper_Madison,Good_Life_by_Sammy_Rae_&_The_Friends,Great_Vacation_by_Dirt_Poor_Robins,Green_(Secret_Songbook_Sessions)_by_Ivory_Layne,Green_Grass_by_Ellie_Dixon,Grey_Morning_by_FOXTRAX,Groundhog_Day_by_Em_Beihold,Grow_Up_and_Blow_Away_by_Metric,Hayloft_by_Mother_Mother,Heart-Shaped_Hologram_by_Stephanie_Mabey,Henrietta_by_The_Fratellis,Here_is_a_Heart_by_Jenny_Owen_Youngs,Hey_Ho_by_Gin_Wigmore,Him_&_I_(with_Halsey)_by_G-Eazy,Hold_Onto_My_Fur_by_The_Kiffness,Holocaust_of_Giants_by_Rasputina,Home_by_AlicebanD,Honestly_by_Bantams,Honey_I'm_Home_by_Destroy_Boys,Hustle_Rose_by_Metric,I'll_Rust_With_You_by_Steam_Powered_Giraffe,I'm_Gonna_Win_by_Rob_Cantor,If_It_All_Goes_South_by_Sammy_Rae_&_The_Friends,Infrared_by_Em_Beihold,It's_No_Secret_by_Jukebox_The_Ghost,I_Can't_Decide_by_Scissor_Sisters,I_Do_by_Gin_Wigmore,I_Just_Wanna_Shine_by_Fitz_and_The_Tantrums
Bloodsuckers_by_Johnny_Hollow,0.85336924,0.870662,0.91617,0.7899897,0.85383976,0.8542987,0.79320335,0.9095348,0.8930558,0.8447593,0.89559716,0.82410645,0.9185453,0.7666713,0.76094955,0.9204184,0.8861268,0.90388,0.84677875,0.8614242,0.798158,0.8527105,0.8271643,0.90733,0.8997892,0.8511934,0.90351504,0.9177858,0.91427267,0.8281176,0.84663296,0.9054763,0.8460846,1.0000123,0.76770306,0.90689045,0.8956019,0.8456228,0.91784763,0.81614614,0.84715796,0.86925256,0.7979581,0.8907529,0.85846126,0.919408,0.9186858,0.89120054,0.8383198,0.8752843,0.8823012,0.8438505,0.8445134,0.89149296,0.7732124,0.9111174,0.8720764,0.8146845,0.9119751,0.8681683,0.83556753,0.8129659,0.8547753,0.8971704,0.8458463,0.8206332,0.86938024,0.8647556,0.88083434,0.8955656,0.8732856,0.80978477,0.86579347,0.8230986,0.9149378,0.91760796,0.9117607,0.803827,0.85394114,0.89556986,0.9024815,0.91781896,0.91581076,0.85242414,0.9155823,0.83988565,0.8547765,0.80846775,0.83392453,0.8782093,0.785193,0.89966446,0.82511127,0.7891718,0.78112197,0.87965596,0.81444913,0.84505075,0.8903355,0.89172643,0.89510655,0.85900676,0.81741834,0.8157229,0.8791107,0.8777838,0.9128717,0.8870956,0.8164913,0.84971166,0.8626835,0.7858085,0.90941983,0.7719138,0.7916468,0.88369375,0.86421895,0.8421116,0.7890975,0.8773579,0.86047405,0.8899915,0.897625,0.8060171,0.8907279,0.8782354,0.86546993,0.81207573,0.82571375,0.78744674,0.89564407,0.89674085,0.8776081,0.9222508,0.87779844,0.7550127,0.83199686,0.9190013,0.8955542,0.86006373,0.9145769,0.9111903,0.84363824,0.8473375
Blue_Sky_by_Quail,0.76508737,0.7674387,0.7661024,0.77373654,0.76633334,0.7727823,0.79024786,0.7715171,0.76701117,0.76052094,0.7787519,0.7644446,0.7731081,0.7675208,0.7761661,0.76854473,0.76212776,0.7680277,0.7714904,0.7655222,0.7791549,0.77968043,0.76667327,0.7677218,0.76313186,0.7615651,0.77084684,0.76810515,0.7658318,0.76196766,0.7668585,0.76834667,0.7713443,0.76770306,0.9999965,0.77182245,0.778752,0.7616837,0.76504946,0.76931715,0.77080876,0.771752,0.77598536,0.7664114,0.76261157,0.77068704,0.76704854,0.7649258,0.7710362,0.77101165,0.76343673,0.77589214,0.7574798,0.76357436,0.7641308,0.7562649,0.7736211,0.76574606,0.77060735,0.76213753,0.76480114,0.76654047,0.7668893,0.76602256,0.7648663,0.78644115,0.75883585,0.7704996,0.75191796,0.77869946,0.76311886,0.7700568,0.7659404,0.75722885,0.76767737,0.7629661,0.77098453,0.7769189,0.77118105,0.77871007,0.76107293,0.76422936,0.7700082,0.762725,0.7616988,0.7652194,0.7710275,0.76729256,0.7628757,0.7643524,0.78404355,0.76454407,0.7749948,0.7711316,0.7741116,0.76085806,0.75539774,0.7681911,0.76147234,0.7714948,0.75992215,0.7653609,0.77283347,0.7660692,0.76580125,0.76224184,0.7628396,0.7636977,0.76738864,0.7643864,0.77813077,0.75843114,0.7632336,0.77620715,0.76892203,0.7712004,0.76181704,0.76526946,0.7747499,0.76752996,0.77450997,0.77018243,0.77858955,0.7623539,0.7663906,0.76698303,0.7774642,0.7738238,0.77472025,0.76043564,0.778819,0.7601797,0.7554973,0.76618654,0.76321316,0.7665029,0.76508135,0.76555455,0.77868676,0.7682212,0.7636511,0.7638509,0.76107293,0.76295954
Boats_&_Birds_by_Gregory_and_the_Hawk,0.85635465,0.87560076,0.90046144,0.7954165,0.857941,0.85868365,0.79937345,0.9109328,0.8967984,0.84996724,0.89097184,0.82887876,0.90333384,0.7706534,0.76853645,0.9063615,0.887836,0.90736216,0.850186,0.8640033,0.8039154,0.8560987,0.8306544,0.90943986,0.9039874,0.8554318,0.90596545,0.90802264,0.89950514,0.8313923,0.8500257,0.9087726,0.84993607,0.90689045,0.77182245,1.0000123,0.8909765,0.85017574,0.9064662,0.81995606,0.85173666,0.87385297,0.80320233,0.894821,0.86315465,0.9074692,0.90259737,0.8955951,0.8393662,0.8789104,0.88698316,0.84963876,0.8493484,0.89540076,0.77915853,0.90335304,0.8752565,0.81840074,0.907998,0.8719721,0.8394617,0.81698316,0.858309,0.9006077,0.85034823,0.82404506,0.87290215,0.8661234,0.8842384,0.8909411,0.8777555,0.8136358,0.87082666,0.8261631,0.906049,0.90357214,0.90625155,0.8071651,0.8580726,0.8909452,0.90419376,0.90324944,0.9020059,0.85518634,0.9033356,0.8436214,0.85778314,0.81117284,0.838532,0.8834404,0.7896836,0.9054703,0.8258583,0.79262936,0.77821356,0.8836901,0.82011133,0.8504926,0.8942656,0.8965517,0.90019923,0.8638474,0.82243943,0.8167857,0.8831966,0.88200164,0.90577316,0.8915261,0.82203645,0.8531892,0.8669847,0.78900534,0.9074263,0.7766932,0.79522604,0.88665277,0.86718965,0.84668386,0.7935027,0.882473,0.86512446,0.89434123,0.8998172,0.80983436,0.8969733,0.87918687,0.86993814,0.81698406,0.82855546,0.78994024,0.8910196,0.8999442,0.87969416,0.90541536,0.88259685,0.755741,0.83559537,0.90613896,0.89092815,0.8646899,0.8989744,0.90794784,0.84664255,0.85142195
Body_by_Mother_Mother,0.83602375,0.8644785,0.90492094,0.7972201,0.83856875,0.8578008,0.8491042,0.88488036,0.8729694,0.8269949,0.99991995,0.8120281,0.9157981,0.7730754,0.7852156,0.89403915,0.86771154,0.8809476,0.83710873,0.8447456,0.80424577,0.8589508,0.8187393,0.8821114,0.88175136,0.83501935,0.89438653,0.88879776,0.91547203,0.8263998,0.83528674,0.89131206,0.8393424,0.8956019,0.778752,0.8909765,0.9999652,0.84386617,0.8898999,0.81167066,0.83943105,0.85641783,0.80016917,0.8697243,0.84388906,0.897939,0.90292954,0.86839134,0.83924866,0.86572355,0.8658749,0.84882367,0.8283331,0.8690153,0.8087427,0.8799755,0.862995,0.81778485,0.8966139,0.8462298,0.8214534,0.8099989,0.8486367,0.8762859,0.82895017,0.8661168,0.84852636,0.84935683,0.85775065,0.9999346,0.85228825,0.80552113,0.85504943,0.83366364,0.8994249,0.8917356,0.90405345,0.80730104,0.8447181,0.9999343,0.87567824,0.89085186,0.9169338,0.83487296,0.89315635,0.8267281,0.8457236,0.80082196,0.8220309,0.8570572,0.8004629,0.881496,0.8375802,0.79778904,0.7990683,0.85801256,0.81235725,0.8380858,0.8694913,0.8811629,0.87652564,0.8485948,0.8222534,0.8086738,0.8670579,0.861865,0.88443923,0.86772656,0.80799764,0.83627915,0.85316414,0.78490233,0.88405675,0.7778324,0.79065025,0.87859493,0.8452413,0.82909113,0.79515827,0.8543084,0.86922294,0.8668658,0.8951067,0.79978114,0.8692025,0.8646167,0.85682154,0.80789596,0.8266932,0.7913452,0.9999373,0.86939067,0.85557944,0.8958248,0.8544439,0.7693237,0.81873804,0.8881581,0.9999306,0.84914124,0.9065406,0.88289577,0.8373835,0.84060544
Breezeblocks_by_alt-J,0.8545661,0.8506296,0.8423955,0.7870806,0.85750973,0.8521331,0.792777,0.8486893,0.84709996,0.8525126,0.8438643,0.8307242,0.84520173,0.76292354,0.76008654,0.8457616,0.84647286,0.8469845,0.8548695,0.8536017,0.79387057,0.85331136,0.8347789,0.84768283,0.8424108,0.8543204,0.8474728,0.84611106,0.8423065,0.831326,0.8580343,0.8472014,0.84765303,0.8456228,0.7616837,0.85017574,0.84386617,1.0000066,0.8435555,0.8197359,0.8526829,0.85564554,0.7952056,0.85174185,0.85251945,0.84577614,0.843384,0.8466026,0.8369164,0.8544694,0.84973985,0.84777427,0.8503553,0.8473858,0.77437305,0.8389851,0.8563728,0.81822395,0.8467089,0.85114795,0.8406925,0.8077639,0.85311425,0.84616506,0.85549474,0.80309796,0.84941447,0.85739976,0.8410517,0.84382385,0.84791875,0.812659,0.85203606,0.8318406,0.8460302,0.84257156,0.84651005,0.7998121,0.8541298,0.8438289,0.8426637,0.8421414,0.8454641,0.8551481,0.8418041,0.8494797,0.8565609,0.8124133,0.8419631,0.84867036,0.7757624,0.8444106,0.8213907,0.78381306,0.75527364,0.8456993,0.8182203,0.85569,0.8473263,0.84986866,0.843312,0.85426104,0.8129493,0.81726503,0.85183996,0.85000396,0.8436818,0.84584093,0.81912917,0.85122436,0.8586803,0.7840201,0.845683,0.76259434,0.792757,0.85221463,0.8499747,0.8498632,0.7788528,0.8516417,0.856176,0.85344446,0.8522787,0.81117284,0.8483039,0.8517909,0.85868526,0.8179308,0.82823753,0.78334445,0.8439203,0.8432656,0.843313,0.84450936,0.8500338,0.74598634,0.8243323,0.84499204,0.8438075,0.8549725,0.8419615,0.8445193,0.8514857,0.8527956
Bummer_Days_by_Liza_Anne,0.85256237,0.87157065,0.9116441,0.78686255,0.8534766,0.8517484,0.7893265,0.9098767,0.89203066,0.8463964,0.88989586,0.82354283,0.9127393,0.7645933,0.75944275,0.9171203,0.8856938,0.9017062,0.8464367,0.860151,0.7954568,0.8506316,0.8263317,0.9083399,0.89930576,0.85005856,0.90265983,0.9177163,0.9092972,0.8274725,0.8457193,0.90474176,0.84441394,0.91784763,0.76504946,0.9064662,0.8898999,0.8435555,1.0000137,0.81533086,0.8473407,0.86667013,0.7970464,0.8913604,0.85908926,0.9187018,0.9130942,0.89169395,0.83619094,0.8736757,0.8828989,0.84090227,0.8450128,0.8905695,0.76979154,0.9110835,0.8692772,0.81414306,0.9097915,0.868137,0.8347837,0.81096923,0.8529479,0.89666414,0.8450709,0.8164059,0.86792356,0.86273414,0.8802342,0.88986427,0.87325853,0.80870146,0.86604667,0.82046247,0.9149607,0.91607255,0.90987605,0.8020908,0.85058737,0.8898693,0.901468,0.9151548,0.9107051,0.85077053,0.9146652,0.83853084,0.85327756,0.8072924,0.8328252,0.87737435,0.7800561,0.89931154,0.8238481,0.7874945,0.77805346,0.878502,0.81526834,0.8431973,0.89140147,0.89057565,0.8955457,0.859818,0.8141545,0.8136119,0.8790579,0.87891835,0.91189015,0.88653016,0.8157389,0.84869003,0.8620543,0.78330845,0.9089276,0.7705508,0.79055,0.8829407,0.8636063,0.8410502,0.7869238,0.87721336,0.858845,0.8898839,0.8941999,0.80472404,0.8915878,0.8762464,0.86523634,0.8117684,0.8227494,0.78437495,0.8899417,0.89743155,0.8764838,0.91735786,0.87850386,0.75157225,0.83178633,0.91842777,0.8898506,0.85888284,0.91041595,0.90989745,0.842736,0.84534943
Burning_Pile_by_Mother_Mother,0.8221706,0.8206245,0.8131356,0.80302274,0.82546043,0.8289994,0.7956235,0.82076347,0.81985635,0.81984,0.81166995,0.8294129,0.81824857,0.77634156,0.7738784,0.81704974,0.81680405,0.81979454,0.82914686,0.8205855,0.8089678,0.83326495,0.8302931,0.8195606,0.8156104,0.81892216,0.81971717,0.8164944,0.8124873,0.82637054,0.82667065,0.819222,0.8318263,0.81614614,0.76931715,0.81995606,0.81167066,0.8197359,0.81533086,0.99998915,0.82719445,0.8254885,0.8071215,0.82177347,0.8197872,0.8169992,0.8150099,0.81695384,0.8328697,0.82544416,0.81743485,0.83207166,0.81796676,0.81761116,0.7864759,0.8091592,0.8269791,0.81560904,0.81943876,0.8201834,0.8290616,0.8214443,0.8244444,0.8176732,0.824679,0.8058091,0.816557,0.82603055,0.80828273,0.81162304,0.8197925,0.82519346,0.8201944,0.82068765,0.81602705,0.8131654,0.81788564,0.814122,0.8251979,0.8116322,0.8141496,0.8127446,0.8155627,0.8205813,0.8126758,0.82777095,0.8262498,0.8252275,0.826302,0.81971246,0.79471976,0.81642956,0.82945335,0.79216653,0.7669956,0.8168909,0.8247593,0.8262686,0.8167413,0.821168,0.81234705,0.8212198,0.826439,0.82789844,0.8200384,0.8191621,0.81335276,0.8183351,0.8300717,0.8243251,0.8327477,0.79571736,0.81400913,0.77437663,0.80182445,0.823299,0.8184583,0.82593757,0.79165745,0.8235053,0.8256077,0.82301944,0.8255195,0.8244687,0.8202017,0.8214522,0.8308674,0.8331036,0.83589995,0.794894,0.8117305,0.8143953,0.8114149,0.81589466,0.81994784,0.76109314,0.82991827,0.8150407,0.8116109,0.8246336,0.8115939,0.8151623,0.8205431,0.82096356
Burn_It_Down_by_Tauese_Tofa,0.8563825,0.8522646,0.84253263,0.7971634,0.85825,0.8559009,0.79833204,0.8519648,0.8492846,0.8546167,0.83943945,0.83577514,0.8475688,0.7706833,0.7690882,0.8482043,0.8482275,0.8499677,0.8596915,0.8557745,0.803705,0.85890716,0.84089756,0.8494247,0.84573257,0.855578,0.8496124,0.84859264,0.8417862,0.83631265,0.8579749,0.8499654,0.8555358,0.84715796,0.77080876,0.85173666,0.83943105,0.8526829,0.8473407,0.82719445,0.99999774,0.85841495,0.8037617,0.85150504,0.8528962,0.84923285,0.84400105,0.8477706,0.8444729,0.856186,0.85021245,0.85346186,0.85154986,0.8500239,0.7816445,0.8425637,0.8584678,0.82289356,0.84911245,0.85249496,0.84689283,0.81276476,0.85637283,0.84840053,0.85740227,0.8097461,0.84983706,0.85848826,0.8415971,0.83939487,0.8519652,0.82108957,0.85369724,0.83679676,0.8495487,0.8460863,0.8491775,0.80823344,0.85848695,0.8394082,0.84600973,0.8460889,0.84371036,0.85583663,0.8438119,0.8549638,0.86062646,0.81885445,0.84573114,0.85135335,0.7874173,0.84802806,0.82855123,0.7891266,0.76604795,0.8489799,0.8236514,0.85907584,0.8478862,0.8517336,0.84491986,0.8563221,0.8228251,0.8229731,0.8531407,0.8511113,0.8461107,0.8488936,0.827776,0.8546149,0.8623385,0.7917808,0.8464612,0.77340376,0.8005866,0.8542605,0.8524716,0.8553907,0.7873084,0.8543663,0.85856235,0.85512096,0.8556042,0.8170764,0.8508379,0.85451394,0.86246,0.8248142,0.8366653,0.7895423,0.83948946,0.8449052,0.8445258,0.8469107,0.8506891,0.7544015,0.83088464,0.84723425,0.8393758,0.8565131,0.84216505,0.84612346,0.8541598,0.85479856
Bygones_by_Seeing_Double,0.86547804,0.8765356,0.8622357,0.7949112,0.8650492,0.858624,0.79845804,0.87349653,0.87458235,0.856991,0.85641414,0.83385336,0.8678065,0.7706475,0.76850975,0.86857164,0.8712201,0.8733398,0.8562578,0.8722708,0.80434614,0.8583832,0.8377999,0.8721213,0.868277,0.86195946,0.8718543,0.8687534,0.86174256,0.8351856,0.8595084,0.8713419,0.8524295,0.86925256,0.771752,0.87385297,0.85641783,0.85564554,0.86667013,0.8254885,0.85841495,1.0000068,0.80707693,0.87509364,0.870521,0.8708239,0.8643201,0.8725195,0.8436383,0.8782106,0.8739753,0.85350263,0.85792637,0.87413627,0.7802778,0.8635461,0.8815055,0.8210424,0.87068534,0.8758893,0.84620565,0.81248814,0.86743146,0.87004864,0.8566836,0.8155135,0.87175703,0.8743573,0.86425364,0.85637707,0.8753065,0.8176743,0.8752917,0.8321324,0.8667391,0.8655629,0.8705082,0.80496967,0.8648669,0.8563825,0.8693596,0.8659441,0.864945,0.863181,0.8642655,0.85074365,0.86631685,0.81566846,0.8443426,0.8754991,0.7883482,0.87050104,0.8262882,0.79084146,0.7649445,0.8727145,0.81954,0.8586243,0.8717473,0.8753036,0.8694593,0.86871344,0.8213058,0.82202095,0.87585956,0.87376004,0.8661913,0.8723672,0.82416785,0.8606497,0.8730008,0.7910564,0.86780816,0.7763727,0.7995169,0.87756133,0.874868,0.851358,0.7898463,0.87865335,0.8653069,0.87854034,0.87723845,0.814776,0.87284946,0.87676656,0.8773631,0.82073015,0.83452106,0.7889298,0.8564672,0.8678037,0.8708353,0.86680627,0.87454385,0.7546767,0.8373256,0.8673822,0.8563643,0.86965436,0.86124885,0.8689455,0.8540021,0.8587985
Can't_Go_Back_by_The_Crane_Wives,0.7986677,0.8003221,0.79271024,0.80352986,0.800643,0.807013,0.79720765,0.80398065,0.7995948,0.7951529,0.800168,0.8026432,0.7987365,0.78114474,0.7800807,0.79818654,0.7971572,0.8010385,0.8042444,0.79912865,0.81227094,0.81012297,0.8045491,0.7987854,0.7950236,0.7970533,0.8017406,0.7989304,0.791877,0.8009077,0.8006586,0.800639,0.8076245,0.7979581,0.77598536,0.80320233,0.80016917,0.7952056,0.7970464,0.8071215,0.8037617,0.80707693,0.9999996,0.8000287,0.7969494,0.8007637,0.7945124,0.79693025,0.8078525,0.8044438,0.7981608,0.8095152,0.7932624,0.79808974,0.79439676,0.78895074,0.8078134,0.8005336,0.8014122,0.7990846,0.8028805,0.8020576,0.79947555,0.79820067,0.79958415,0.7994097,0.7948651,0.8042641,0.7877507,0.800121,0.79798824,0.8073734,0.79947954,0.79320383,0.7987093,0.7951494,0.8020148,0.80953234,0.8026195,0.8001302,0.79494613,0.7945519,0.7962993,0.79553235,0.7929855,0.80125505,0.8032386,0.80682987,0.7996958,0.7999926,0.8026273,0.7976753,0.8092886,0.7976392,0.7735655,0.7940542,0.79542464,0.80089146,0.7948722,0.80340356,0.7927362,0.7989536,0.8063959,0.8029557,0.8000056,0.79702544,0.7955393,0.7978135,0.80404675,0.8007231,0.8110387,0.7973227,0.7969121,0.7796768,0.80106425,0.80258876,0.7988618,0.8008539,0.7989258,0.80306524,0.80615294,0.80381304,0.80872595,0.8001358,0.80053496,0.80153507,0.8085075,0.81064403,0.81033933,0.7966053,0.80023,0.793746,0.7910553,0.7955596,0.79861414,0.7704249,0.8039492,0.7963193,0.8001087,0.8012543,0.78996027,0.79593015,0.79450166,0.79553556
Can_You_Keep_Up_by_Blue_Kid,0.85975844,0.8783498,0.8848156,0.7895364,0.86038756,0.8596527,0.7918457,0.8959743,0.8954281,0.85259664,0.8697242,0.8300755,0.88762844,0.7688119,0.7614036,0.8900691,0.88656265,0.89487374,0.85158247,0.8689336,0.802037,0.851418,0.83184683,0.8955551,0.89134324,0.8590795,0.891762,0.8917095,0.8836136,0.8313198,0.85356253,0.8942034,0.8496637,0.8907529,0.7664114,0.894821,0.8697243,0.85174185,0.8913604,0.82177347,0.85150504,0.87509364,0.8000287,1.0000118,0.8679717,0.89071006,0.88736254,0.8950678,0.83899915,0.8820152,0.8931668,0.8488322,0.8532097,0.8965169,0.7739423,0.88824075,0.8772126,0.817819,0.89239925,0.8755598,0.84092003,0.81577194,0.86146736,0.8930163,0.8530021,0.81440604,0.8765381,0.86936224,0.8899638,0.8696894,0.8837193,0.8142116,0.8736223,0.8264804,0.891385,0.8890856,0.8917516,0.80335647,0.858236,0.8696923,0.89163285,0.88773394,0.88484997,0.85807776,0.88751453,0.8473923,0.85848075,0.81124055,0.83954114,0.88803273,0.7827076,0.8919499,0.8236064,0.7879702,0.7654767,0.88827,0.8191977,0.8507201,0.89397967,0.89607435,0.8913404,0.86578095,0.81649065,0.8171,0.8876559,0.88384485,0.8903143,0.8935088,0.8191186,0.85657805,0.86781174,0.7881731,0.89257765,0.7722108,0.793558,0.8905039,0.8726016,0.8481745,0.7895244,0.8875827,0.86348784,0.8982579,0.8950145,0.8103092,0.8963758,0.88062173,0.8721593,0.81696755,0.8291935,0.7868413,0.86977214,0.8929485,0.8855814,0.89133114,0.8884339,0.7510287,0.83809775,0.89092064,0.86967397,0.8678964,0.8835652,0.89211285,0.8490256,0.85272074
Caroline_by_Crash_Adams,0.8631867,0.8657101,0.85500443,0.78683996,0.86427987,0.853722,0.788238,0.8650472,0.86411315,0.855225,0.8438899,0.8306339,0.85706997,0.7640351,0.75781393,0.8590385,0.8635782,0.863453,0.8531007,0.86924875,0.7964089,0.8514947,0.83251786,0.8636543,0.8592038,0.86113954,0.86085516,0.861505,0.85278785,0.8308009,0.8557039,0.86235696,0.8486394,0.85846126,0.76261157,0.86315465,0.84388906,0.85251945,0.85908926,0.8197872,0.8528962,0.870521,0.7969494,0.8679717,1.0000052,0.859999,0.8561206,0.86230904,0.8384723,0.8694816,0.8658604,0.84694535,0.855225,0.8641924,0.77176887,0.85586315,0.87066895,0.81515354,0.8611868,0.868425,0.8420149,0.80779743,0.86343634,0.86214006,0.8552288,0.801587,0.86362624,0.87103087,0.85848224,0.84385055,0.86524606,0.81150806,0.86758405,0.82832617,0.86079234,0.8567857,0.86019987,0.7986662,0.86024106,0.84385675,0.8605287,0.8557069,0.85523736,0.8597348,0.85542375,0.8474658,0.8618719,0.8116743,0.8414101,0.8655832,0.77694976,0.86133814,0.81985795,0.78098327,0.75475633,0.8648357,0.81604093,0.85197407,0.86265135,0.86522776,0.8598497,0.8685485,0.81309843,0.81658286,0.8672239,0.86585855,0.8572485,0.86308783,0.8200501,0.85657966,0.8645757,0.78349954,0.8609704,0.76621825,0.7937424,0.865697,0.8675721,0.84763724,0.77911234,0.8703887,0.858617,0.8696772,0.8657948,0.8104974,0.86535066,0.8679856,0.87218934,0.8159807,0.828364,0.78265905,0.84394276,0.860268,0.8599931,0.85907423,0.8672505,0.74476594,0.83247465,0.85923105,0.84383523,0.86225796,0.8535782,0.86075026,0.84960294,0.85429907
